Symbol,Side,Status,Filled,Avg Price,Filled Time,Commission
GOOGL,BUY,Filled,139,@320.73,01/06/2025 09:31:00 EST,0
GOOGL,SELL,Filled,139,@319.53,01/06/2025 10:53:00 EST,0
AMD,SELL,Filled,51,@195.69,01/06/2025 11:02:00 EST,0
AMD,BUY,Filled,51,@198.79,01/06/2025 11:09:00 EST,0
COIN,SELL,Filled,71,@34.40,01/06/2025 11:15:00 EST,0
COIN,BUY,Filled,71,@36.76,01/06/2025 11:28:00 EST,0
AMD,BUY,Filled,178,@174.22,01/06/2025 11:48:00 EST,0
AMD,SELL,Filled,178,@173.46,01/06/2025 12:47:00 EST,0
CRM,BUY,Filled,192,@119.42,01/06/2025 12:56:00 EST,0
CRM,SELL,Filled,192,@118.49,01/06/2025 14:07:00 EST,0
TSLA,BUY,Filled,67,@36.45,01/06/2025 14:24:00 EST,0
TSLA,SELL,Filled,67,@35.22,01/06/2025 14:29:00 EST,0
RIVN,BUY,Filled,68,@37.58,01/06/2025 14:34:00 EST,0
RIVN,SELL,Filled,68,@43.67,01/06/2025 15:14:00 EST,0
AMZN,BUY,Filled,195,@328.40,01/06/2025 15:32:00 EST,0
AMZN,SELL,Filled,195,@332.50,01/06/2025 16:29:00 EST,0
TSLA,BUY,Filled,178,@159.40,01/06/2025 16:38:00 EST,0
TSLA,SELL,Filled,178,@158.71,01/06/2025 18:06:00 EST,0
MSFT,SELL,Filled,196,@128.67,01/06/2025 18:12:00 EST,0
MSFT,BUY,Filled,196,@129.52,01/06/2025 19:14:00 EST,0
TSM,BUY,Filled,81,@169.98,01/06/2025 19:21:00 EST,0
TSM,SELL,Filled,81,@167.91,01/06/2025 20:36:00 EST,0
MSFT,BUY,Filled,33,@325.33,01/06/2025 20:42:00 EST,0
MSFT,SELL,Filled,33,@320.33,01/06/2025 21:14:00 EST,0
MSFT,BUY,Filled,107,@15.72,01/06/2025 21:29:00 EST,0
MSFT,SELL,Filled,107,@25.24,01/06/2025 22:10:00 EST,0
CRM,SELL,Filled,49,@78.62,01/06/2025 22:26:00 EST,0
CRM,BUY,Filled,49,@80.70,01/06/2025 22:38:00 EST,0
MSFT,BUY,Filled,159,@174.72,01/06/2025 22:51:00 EST,0
MSFT,SELL,Filled,159,@173.64,01/06/2025 23:19:00 EST,0
ADBE,BUY,Filled,182,@303.71,01/06/2025 23:24:00 EST,0
ADBE,SELL,Filled,182,@303.05,01/07/2025 00:43:00 EST,0
ADBE,BUY,Filled,117,@235.22,01/07/2025 00:47:00 EST,0
ADBE,SELL,Filled,117,@234.05,01/07/2025 02:17:00 EST,0
NFLX,SELL,Filled,111,@58.84,01/07/2025 02:30:00 EST,0
NFLX,BUY,Filled,111,@60.14,01/07/2025 02:44:00 EST,0
INTC,BUY,Filled,28,@195.11,01/07/2025 02:47:00 EST,0
INTC,SELL,Filled,28,@190.45,01/07/2025 03:00:00 EST,0
COIN,SELL,Filled,50,@161.79,01/07/2025 03:10:00 EST,0
COIN,BUY,Filled,50,@164.48,01/07/2025 04:38:00 EST,0
AAPL,SELL,Filled,179,@49.70,01/07/2025 04:57:00 EST,0
AAPL,BUY,Filled,179,@45.40,01/07/2025 06:12:00 EST,0
GOOGL,SELL,Filled,164,@85.56,01/07/2025 06:19:00 EST,0
GOOGL,BUY,Filled,164,@86.26,01/07/2025 07:28:00 EST,0
GOOGL,BUY,Filled,33,@227.49,01/07/2025 07:46:00 EST,0
GOOGL,SELL,Filled,33,@222.55,01/07/2025 08:07:00 EST,0
META,SELL,Filled,151,@251.40,01/07/2025 08:18:00 EST,0
META,BUY,Filled,151,@252.30,01/07/2025 08:42:00 EST,0
MSFT,SELL,Filled,159,@200.10,01/07/2025 09:02:00 EST,0
MSFT,BUY,Filled,159,@200.87,01/07/2025 09:12:00 EST,0
AMZN,BUY,Filled,180,@49.44,01/07/2025 09:26:00 EST,0
AMZN,SELL,Filled,180,@48.56,01/07/2025 10:50:00 EST,0
NFLX,BUY,Filled,55,@310.27,01/07/2025 10:57:00 EST,0
NFLX,SELL,Filled,55,@308.77,01/07/2025 11:54:00 EST,0
GOOGL,BUY,Filled,189,@51.21,01/07/2025 12:04:00 EST,0
GOOGL,SELL,Filled,189,@58.42,01/07/2025 13:07:00 EST,0
SMCI,BUY,Filled,67,@22.93,01/07/2025 13:21:00 EST,0
SMCI,SELL,Filled,67,@21.45,01/07/2025 14:01:00 EST,0
RIVN,SELL,Filled,183,@343.69,01/07/2025 14:15:00 EST,0
RIVN,BUY,Filled,183,@344.42,01/07/2025 14:53:00 EST,0
ORCL,SELL,Filled,19,@51.31,01/07/2025 15:01:00 EST,0
ORCL,BUY,Filled,19,@57.81,01/07/2025 16:23:00 EST,0
TSLA,SELL,Filled,157,@78.68,01/07/2025 16:42:00 EST,0
TSLA,BUY,Filled,157,@79.22,01/07/2025 17:55:00 EST,0
COIN,SELL,Filled,27,@332.87,01/07/2025 18:04:00 EST,0
COIN,BUY,Filled,27,@339.24,01/07/2025 18:24:00 EST,0
AVGO,SELL,Filled,180,@151.81,01/07/2025 18:36:00 EST,0
AVGO,BUY,Filled,180,@148.62,01/07/2025 19:34:00 EST,0
SOFI,BUY,Filled,167,@205.65,01/07/2025 19:49:00 EST,0
SOFI,SELL,Filled,167,@204.93,01/07/2025 20:20:00 EST,0
ORCL,SELL,Filled,129,@163.00,01/07/2025 20:36:00 EST,0
ORCL,BUY,Filled,129,@156.06,01/07/2025 21:02:00 EST,0
SMCI,SELL,Filled,33,@289.17,01/07/2025 21:07:00 EST,0
SMCI,BUY,Filled,33,@293.87,01/07/2025 21:37:00 EST,0
AAPL,BUY,Filled,72,@344.62,01/07/2025 21:44:00 EST,0
AAPL,SELL,Filled,72,@342.66,01/07/2025 23:09:00 EST,0
SHOP,SELL,Filled,112,@96.73,01/07/2025 23:18:00 EST,0
SHOP,BUY,Filled,112,@98.03,01/07/2025 23:36:00 EST,0
NFLX,BUY,Filled,188,@188.52,01/07/2025 23:52:00 EST,0
NFLX,SELL,Filled,188,@188.07,01/08/2025 00:55:00 EST,0
INTC,SELL,Filled,123,@220.24,01/08/2025 01:02:00 EST,0
INTC,BUY,Filled,123,@221.48,01/08/2025 02:17:00 EST,0
META,SELL,Filled,125,@101.83,01/08/2025 02:34:00 EST,0
META,BUY,Filled,125,@102.67,01/08/2025 03:45:00 EST,0
RIVN,BUY,Filled,80,@162.36,01/08/2025 04:03:00 EST,0
RIVN,SELL,Filled,80,@160.47,01/08/2025 05:17:00 EST,0
AMD,BUY,Filled,69,@143.32,01/08/2025 05:22:00 EST,0
AMD,SELL,Filled,69,@141.94,01/08/2025 06:09:00 EST,0
INTC,SELL,Filled,25,@84.29,01/08/2025 06:29:00 EST,0
INTC,BUY,Filled,25,@89.17,01/08/2025 06:36:00 EST,0
BA,BUY,Filled,100,@115.04,01/08/2025 06:51:00 EST,0
BA,SELL,Filled,100,@113.85,01/08/2025 08:04:00 EST,0
ADBE,BUY,Filled,134,@88.51,01/08/2025 08:24:00 EST,0
ADBE,SELL,Filled,134,@91.44,01/08/2025 09:20:00 EST,0
INTC,BUY,Filled,169,@193.93,01/08/2025 09:28:00 EST,0
INTC,SELL,Filled,169,@192.92,01/08/2025 09:43:00 EST,0
AMD,SELL,Filled,56,@31.85,01/08/2025 09:59:00 EST,0
AMD,BUY,Filled,56,@33.96,01/08/2025 10:52:00 EST,0
TSM,SELL,Filled,30,@172.55,01/08/2025 11:03:00 EST,0
TSM,BUY,Filled,30,@177.71,01/08/2025 11:36:00 EST,0
RIVN,BUY,Filled,17,@333.12,01/08/2025 11:41:00 EST,0
RIVN,SELL,Filled,17,@327.24,01/08/2025 12:02:00 EST,0
SOFI,BUY,Filled,154,@332.50,01/08/2025 12:20:00 EST,0
SOFI,SELL,Filled,154,@331.68,01/08/2025 13:42:00 EST,0
META,SELL,Filled,37,@208.86,01/08/2025 13:48:00 EST,0
META,BUY,Filled,37,@213.53,01/08/2025 14:41:00 EST,0
AMZN,BUY,Filled,161,@246.36,01/08/2025 14:56:00 EST,0
AMZN,SELL,Filled,161,@245.47,01/08/2025 16:17:00 EST,0
ORCL,BUY,Filled,98,@193.47,01/08/2025 16:23:00 EST,0
ORCL,SELL,Filled,98,@191.98,01/08/2025 16:29:00 EST,0
BA,BUY,Filled,120,@336.86,01/08/2025 16:45:00 EST,0
BA,SELL,Filled,120,@335.66,01/08/2025 17:45:00 EST,0
AVGO,SELL,Filled,167,@285.75,01/08/2025 17:53:00 EST,0
AVGO,BUY,Filled,167,@286.55,01/08/2025 19:13:00 EST,0
PLTR,BUY,Filled,32,@108.44,01/08/2025 19:24:00 EST,0
PLTR,SELL,Filled,32,@104.53,01/08/2025 20:54:00 EST,0
PLTR,BUY,Filled,136,@300.07,01/08/2025 21:09:00 EST,0
PLTR,SELL,Filled,136,@299.35,01/08/2025 21:57:00 EST,0
ADBE,SELL,Filled,152,@18.40,01/08/2025 22:08:00 EST,0
ADBE,BUY,Filled,152,@14.36,01/08/2025 23:15:00 EST,0
NFLX,SELL,Filled,175,@253.47,01/08/2025 23:35:00 EST,0
NFLX,BUY,Filled,175,@251.26,01/09/2025 00:31:00 EST,0
SMCI,SELL,Filled,131,@200.41,01/09/2025 00:41:00 EST,0
SMCI,BUY,Filled,131,@201.28,01/09/2025 01:31:00 EST,0
GOOGL,SELL,Filled,74,@92.23,01/09/2025 01:48:00 EST,0
GOOGL,BUY,Filled,74,@94.29,01/09/2025 02:16:00 EST,0
AMZN,SELL,Filled,80,@257.74,01/09/2025 02:25:00 EST,0
AMZN,BUY,Filled,80,@244.09,01/09/2025 02:42:00 EST,0
SMCI,BUY,Filled,102,@75.11,01/09/2025 02:51:00 EST,0
SMCI,SELL,Filled,102,@74.31,01/09/2025 03:02:00 EST,0
SMCI,BUY,Filled,173,@305.93,01/09/2025 03:22:00 EST,0
SMCI,SELL,Filled,173,@305.18,01/09/2025 04:27:00 EST,0
INTC,SELL,Filled,57,@338.44,01/09/2025 04:45:00 EST,0
INTC,BUY,Filled,57,@340.29,01/09/2025 04:58:00 EST,0
BA,BUY,Filled,157,@225.86,01/09/2025 05:13:00 EST,0
BA,SELL,Filled,157,@227.98,01/09/2025 05:56:00 EST,0
NFLX,BUY,Filled,152,@271.09,01/09/2025 06:01:00 EST,0
NFLX,SELL,Filled,152,@270.16,01/09/2025 07:12:00 EST,0
INTC,SELL,Filled,86,@303.16,01/09/2025 07:27:00 EST,0
INTC,BUY,Filled,86,@305.24,01/09/2025 08:50:00 EST,0
AMZN,BUY,Filled,77,@236.24,01/09/2025 08:56:00 EST,0
AMZN,SELL,Filled,77,@235.00,01/09/2025 09:58:00 EST,0
SMCI,BUY,Filled,69,@111.52,01/09/2025 10:16:00 EST,0
SMCI,SELL,Filled,69,@109.95,01/09/2025 10:54:00 EST,0
TSM,BUY,Filled,149,@90.31,01/09/2025 11:03:00 EST,0
TSM,SELL,Filled,149,@93.24,01/09/2025 11:15:00 EST,0
SMCI,SELL,Filled,122,@56.66,01/09/2025 11:23:00 EST,0
SMCI,BUY,Filled,122,@57.88,01/09/2025 12:32:00 EST,0
BA,SELL,Filled,30,@215.34,01/09/2025 12:52:00 EST,0
BA,BUY,Filled,30,@173.63,01/09/2025 13:00:00 EST,0
NFLX,BUY,Filled,182,@290.18,01/09/2025 13:05:00 EST,0
NFLX,SELL,Filled,182,@295.91,01/09/2025 14:16:00 EST,0
GOOGL,BUY,Filled,159,@161.02,01/09/2025 14:33:00 EST,0
GOOGL,SELL,Filled,159,@160.00,01/09/2025 15:30:00 EST,0
PLTR,BUY,Filled,51,@125.48,01/09/2025 15:43:00 EST,0
PLTR,SELL,Filled,51,@122.55,01/09/2025 16:58:00 EST,0
INTC,BUY,Filled,90,@99.55,01/09/2025 17:02:00 EST,0
INTC,SELL,Filled,90,@98.53,01/09/2025 17:07:00 EST,0
