Symbol,Side,Status,Filled,Avg Price,Filled Time,Commission
SOFI,SELL,Filled,188,@175.31,01/06/2025 09:31:00 EST,0
SOFI,BUY,Filled,188,@175.83,01/06/2025 10:34:00 EST,0
SMCI,BUY,Filled,21,@280.02,01/06/2025 10:38:00 EST,0
SMCI,SELL,Filled,21,@271.99,01/06/2025 11:33:00 EST,0
BA,SELL,Filled,19,@267.35,01/06/2025 11:53:00 EST,0
BA,BUY,Filled,19,@240.53,01/06/2025 13:21:00 EST,0
GOOGL,BUY,Filled,104,@161.38,01/06/2025 13:34:00 EST,0
GOOGL,SELL,Filled,104,@167.89,01/06/2025 14:22:00 EST,0
BA,SELL,Filled,104,@324.64,01/06/2025 14:30:00 EST,0
BA,BUY,Filled,104,@325.91,01/06/2025 14:45:00 EST,0
ADBE,BUY,Filled,149,@113.41,01/06/2025 15:01:00 EST,0
ADBE,SELL,Filled,149,@112.80,01/06/2025 16:03:00 EST,0
META,SELL,Filled,99,@164.79,01/06/2025 16:19:00 EST,0
META,BUY,Filled,99,@151.73,01/06/2025 17:19:00 EST,0
RIVN,BUY,Filled,29,@239.85,01/06/2025 17:30:00 EST,0
RIVN,SELL,Filled,29,@235.69,01/06/2025 17:55:00 EST,0
AMD,SELL,Filled,18,@57.29,01/06/2025 17:58:00 EST,0
AMD,BUY,Filled,18,@63.05,01/06/2025 19:15:00 EST,0
ADBE,BUY,Filled,183,@165.72,01/06/2025 19:19:00 EST,0
ADBE,SELL,Filled,183,@165.08,01/06/2025 20:10:00 EST,0
PLTR,SELL,Filled,73,@336.77,01/06/2025 20:25:00 EST,0
PLTR,BUY,Filled,73,@337.90,01/06/2025 21:41:00 EST,0
GOOGL,SELL,Filled,190,@164.50,01/06/2025 21:47:00 EST,0
GOOGL,BUY,Filled,190,@165.45,01/06/2025 22:54:00 EST,0
TSLA,BUY,Filled,28,@166.43,01/06/2025 23:03:00 EST,0
TSLA,SELL,Filled,28,@160.36,01/06/2025 23:48:00 EST,0
NVDA,SELL,Filled,86,@300.21,01/07/2025 00:02:00 EST,0
NVDA,BUY,Filled,86,@301.97,01/07/2025 00:53:00 EST,0
NFLX,BUY,Filled,61,@280.34,01/07/2025 01:12:00 EST,0
NFLX,SELL,Filled,61,@278.64,01/07/2025 02:30:00 EST,0
INTC,BUY,Filled,166,@311.22,01/07/2025 02:44:00 EST,0
INTC,SELL,Filled,166,@310.70,01/07/2025 03:50:00 EST,0
TSM,SELL,Filled,157,@39.71,01/07/2025 04:09:00 EST,0
TSM,BUY,Filled,157,@40.84,01/07/2025 05:20:00 EST,0
AMD,BUY,Filled,43,@159.93,01/07/2025 05:34:00 EST,0
AMD,SELL,Filled,43,@173.19,01/07/2025 05:58:00 EST,0
META,BUY,Filled,92,@328.14,01/07/2025 06:10:00 EST,0
META,SELL,Filled,92,@327.03,01/07/2025 06:51:00 EST,0
GOOGL,BUY,Filled,172,@335.38,01/07/2025 06:56:00 EST,0
GOOGL,SELL,Filled,172,@334.76,01/07/2025 07:12:00 EST,0
RIVN,BUY,Filled,161,@330.44,01/07/2025 07:31:00 EST,0
RIVN,SELL,Filled,161,@329.85,01/07/2025 08:53:00 EST,0
ORCL,BUY,Filled,17,@42.21,01/07/2025 09:06:00 EST,0
ORCL,SELL,Filled,17,@31.92,01/07/2025 09:37:00 EST,0
ADBE,BUY,Filled,137,@312.81,01/07/2025 09:53:00 EST,0
ADBE,SELL,Filled,137,@311.83,01/07/2025 10:29:00 EST,0
SMCI,SELL,Filled,28,@245.69,01/07/2025 10:44:00 EST,0
SMCI,BUY,Filled,28,@249.11,01/07/2025 11:32:00 EST,0
PLTR,SELL,Filled,197,@345.99,01/07/2025 11:39:00 EST,0
PLTR,BUY,Filled,197,@346.57,01/07/2025 12:49:00 EST,0
TSLA,SELL,Filled,71,@171.27,01/07/2025 13:09:00 EST,0
TSLA,BUY,Filled,71,@172.77,01/07/2025 14:03:00 EST,0
NFLX,BUY,Filled,93,@327.81,01/07/2025 14:19:00 EST,0
NFLX,SELL,Filled,93,@334.58,01/07/2025 15:29:00 EST,0
BA,SELL,Filled,137,@22.76,01/07/2025 15:46:00 EST,0
BA,BUY,Filled,137,@24.03,01/07/2025 16:18:00 EST,0
MSFT,BUY,Filled,82,@180.79,01/07/2025 16:32:00 EST,0
MSFT,SELL,Filled,82,@178.74,01/07/2025 17:45:00 EST,0
